AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
9100REDRUTH,REDRUTH,RED,Redruth Rail Station,,U,170040,42009,,,,
9100BEASDAL,BEASDAL,BSL,Beasdale Rail Station,,U,170900,785000,,,,
9100KYLELSH,KYLELSH,KYL,Kyle of Lochalsh Rail Station,,U,176247,827123,,,,
9100LCHALRT,LCHALRT,LCL,Lochailort Rail Station,,U,176900,782600,,,,
9100DUIRNSH,DUIRNSH,DRN,Duirinish Rail Station,,U,177845,831521,,,,
9100PRYN,PRYN,PYN,Penryn Rail Station,,U,177900,34710,,,,
9100PERANWL,PERANWL,PRW,Perranwell Rail Station,,U,178080,39810,,,,
9100PLOCKTN,PLOCKTN,PLK,Plockton Rail Station,,U,179450,832950,,,,
9100PENMERE,PENMERE,PNM,Penmere Rail Station,,U,179835,32360,,,,
9100FALMTHT,FALMTHT,FMT,Falmouth Town Rail Station,,U,181130,32085,,,,
9100DUNCRAG,DUNCRAG,DCG,Duncraig Rail Station,,U,181207,833239,,,,
9100NEWQUAY,NEWQUAY,NQY,Newquay Rail Station,,U,181590,61770,,,,
9100TRURO,TRURO,TRU,Truro Rail Station,,U,181667,44924,,,,
9100FALMTHD,FALMTHD,FAL,Falmouth Docks Rail Station,,U,181777,32322,,,,
9100QNTRLDW,QNTRLDW,QUI,Quintrell Downs Rail Station,,U,184890,60405,,,,
9100OBAN,OBAN,OBN,Oban Rail Station,,U,185795,729888,,,,
9100STRMFRY,STRMFRY,STF,Stromeferry Rail Station,,U,186467,834667,,,,
9100GLNFNNN,GLNFNNN,GLF,Glenfinnan Rail Station,,U,189870,780970,,,,
9100MLFDHVN,MLFDHVN,MFH,Milford Haven Rail Station,,U,190026,206183,,,,
9100STCLMBR,STCLMBR,SCR,St Columb Road Rail Station,,U,191100,59560,,,,
9100CONNELF,CONNELF,CON,Connel Ferry Rail Station,,U,191470,734050,,,,
9100ATADALE,ATADALE,ATT,Attadale Rail Station,,U,192456,839125,,,,
9100JHNSTND,JHNSTND,JOH,Johnston (Pembrokeshire) Rail Station,,U,193300,210700,,,,
9100STCN,STCN,STC,Strathcarron Rail Station,,U,194231,842124,,,,
9100FGDHGWK,FGDHGWK,FGW,Fishguard & Goodwick Rail Station,,U,194535,238200,,,,
9100FGDHBR,FGDHBR,FGH,Fishguard Harbour Rail Station,,U,195200,239000,,,,
9100HAVRFDW,HAVRFDW,HVF,Haverfordwest Rail Station,,U,196000,215700,,,,
9100PEMBRKD,PEMBRKD,PMD,Pembroke Dock Rail Station,,U,197040,203550,,,,
9100RCHE,RCHE,ROC,Roche Rail Station,,U,199040,61460,,,,
9100PEMBROK,PEMBROK,PMB,Pembroke Rail Station,,U,199160,201130,,,,
9100LCHESDE,LCHESDE,LCS,Locheilside Rail Station,,U,199500,778600,,,,
9100ACHHSHL,ACHHSHL,ACH,Achnashellach Rail Station,,U,200290,848440,,,,
9100TAYNULT,TAYNULT,TAY,Taynuilt Rail Station,,U,200340,731220,,,,
9100LAMPHEY,LAMPHEY,LAM,Lamphey Rail Station,,U,201400,200400,,,,
9100CLARBRD,CLARBRD,CLR,Clarbeston Road Rail Station,,U,201500,220940,,,,
9100STAUSTL,STAUSTL,SAU,St Austell Rail Station,,U,201611,52565,,,,
9100BUGLE,BUGLE,BGL,Bugle Rail Station,,U,201670,59335,,,,
9100LUXULYN,LUXULYN,LUX,Luxulyan Rail Station,,U,204805,58070,,,,
9100LCEILOB,LCEILOB,LHE,Loch Eil Outward Bound Rail Station,,U,205500,778300,,,,
9100STRNRR,STRNRR,STR,Stranraer Rail Station,,U,206200,561400,,,,
9100MNORBER,MNORBER,MRB,Manorbier Rail Station,,U,207000,199400,,,,
9100PARR,PARR,PAR,Par Rail Station,,U,207700,54100,,,,
9100FLSCRHN,FLSCRHN,FOC,Falls of Cruachan Rail Station,,U,207990,726750,,,,
9100CORPACH,CORPACH,CPA,Corpach Rail Station,,U,209680,776720,,,,
9100FRTWLM,FRTWLM,FTW,Fort William Rail Station,,U,210531,774186,,,,
9100LSTWTHL,LSTWTHL,LOS,Lostwithiel Rail Station,,U,210660,59765,,,,
9100BODMNPW,BODMNPW,BOD,Bodmin Parkway Rail Station,,U,211030,64058,,,,
9100BANAVIE,BANAVIE,BNV,Banavie Rail Station,,U,211300,776700,,,,
9100PNALLY,PNALLY,PNA,Penally Rail Station,,U,211820,199080,,,,
9100CLYNDRW,CLYNDRW,CUW,Clunderwen Rail Station,,U,211900,219300,,,,
9100NRBERTH,NRBERTH,NAR,Narberth Rail Station,,U,212050,214710,,,,
9100LOCHAWE,LOCHAWE,LHA,Loch Awe Rail Station,,U,212380,727460,,,,
9100SDRSFOT,SDRSFOT,SDF,Saundersfoot Rail Station,,U,212460,206090,,,,
9100KILGETY,KILGETY,KGT,Kilgetty Rail Station,,U,212600,207200,,,,
9100TENBY,TENBY,TEN,Tenby Rail Station,,U,212940,200600,,,,
9100DLMALLY,DLMALLY,DAL,Dalmally Rail Station,,U,215980,727210,,,,
9100ACHNSHN,ACHNSHN,ACN,Achnasheen Rail Station,,U,216403,858519,,,,
9100GIRVAN,GIRVAN,GIR,Girvan Rail Station,,U,219030,598380,,,,
9100WEMYSSB,WEMYSSB,WMS,Wemyss Bay Rail Station,,U,219360,668550,,,,
9100WHLAND,WHLAND,WTL,Whitland Rail Station,,U,219900,216500,,,,
9100LARGS,LARGS,LAR,Largs Rail Station,,U,220344,659215,,,,
9100INVERKP,INVERKP,INP,Inverkip Rail Station,,U,220530,671840,,,,
9100WKILBRD,WKILBRD,WKB,West Kilbride Rail Station,,U,220870,648430,,,,
9100FAIRLIE,FAIRLIE,FRL,Fairlie Rail Station,,U,221030,654640,,,,
9100SPEANBD,SPEANBD,SBR,Spean Bridge Rail Station,,U,222120,781430,,,,
9100ARDRSHB,ARDRSHB,ADS,Ardrossan Harbour Rail Station,,U,222540,642090,,,,
9100BRRHL,BRRHL,BRL,Barrhill Rail Station,,U,222600,581600,,,,
9100ARDRSTN,ARDRSTN,ADN,Ardrossan Town Rail Station,,U,223070,642050,,,,
9100IBMM,IBMM,IBM,IBM (Greenock) Rail Station,,U,223470,674320,,,,
9100ARDRSSB,ARDRSSB,ASB,Ardrossan South Beach Rail Station,,U,223799,642211,,,,
9100COOMBE,COOMBE,COE,Coombe Junction Halt (Rail Station),,U,223885,63619,,,,
9100GRLCHHD,GRLCHHD,GCH,Garelochhead Rail Station,,U,224250,691050,,,,
9100GOUROCK,GOUROCK,GRK,Gourock Rail Station,,U,224280,677950,,,,
9100LISKARD,LISKARD,LSK,Liskeard Rail Station,,U,224760,63695,,,,
9100HLYH,HLYH,HHD,Holyhead Rail Station,,U,224800,382200,,,,
9100CAUSLND,CAUSLND,CAU,Causeland Rail Station,,U,224830,59110,,,,
9100SLCT,SLCT,SLT,Saltcoats Rail Station,,U,224830,641330,,,,
9100SDPLACE,SDPLACE,SDP,Sandplace Rail Station,,U,224900,57000,,,,
9100BRNCHTN,BRNCHTN,BCN,Branchton Rail Station,,U,225000,675500,,,,
9100STKEYNE,STKEYNE,SKN,St Keyne Wishing Well Halt (Rail Station),,U,225102,61032,,,,
9100LOOE,LOOE,LOO,Looe Rail Station,,U,225390,53920,,,,
9100FRTMTLD,FRTMTLD,FTM,Fort Matilda Rail Station,,U,225600,677530,,,,
9100ACHANLT,ACHANLT,AAT,Achanalt Rail Station,,U,226020,861473,,,,
9100DRMFCHR,DRMFCHR,DFR,Drumfrochar Rail Station,,U,226800,675500,,,,
9100STVNSTN,STVNSTN,STV,Stevenston Rail Station,,U,226940,641290,,,,
9100ROYBDGE,ROYBDGE,RYB,Roy Bridge Rail Station,,U,227250,781030,,,,
9100GRENCKW,GRENCKW,GKW,Greenock West Rail Station,,U,227260,676160,,,,
9100GRENCKC,GRENCKC,GKC,Greenock Central Rail Station,,U,228200,675900,,,,
9100WHINH,WHINH,WNL,Whinhill Rail Station,,U,228540,675110,,,,
9100MENHENT,MENHENT,MEN,Menheniot Rail Station,,U,228970,61260,,,,
9100VALLEY,VALLEY,VAL,Valley Rail Station,,U,229200,379100,,,,
9100CRTSDYK,CRTSDYK,CDY,Cartsdyke Rail Station,,U,229500,675500,,,,
9100KILWNNG,KILWNNG,KWN,Kilwinning Rail Station,,U,229600,643600,,,,
9100HLNSBRC,HLNSBRC,HLC,Helensburgh Central Rail Station,,U,229700,682400,,,,
9100DALRY,DALRY,DLY,Dalry Rail Station,,U,229752,649195,,,,
9100MAYBOLE,MAYBOLE,MAY,Maybole Rail Station,,U,229860,610030,,,,
9100HLNSBRU,HLNSBRU,HLU,Helensburgh Upper Rail Station,,U,229920,683300,,,,
9100BOORCHY,BOORCHY,BRO,Bridge of Orchy Rail Station,,U,230100,739400,,,,
9100BOGSTON,BOGSTON,BGS,Bogston Rail Station,,U,230738,674875,,,,
9100CRGDRN,CRGDRN,CGD,Craigendoran Rail Station,,U,231000,681300,,,,
9100ARCHRAT,ARCHRAT,ART,Arrochar & Tarbet Rail Station,,U,231200,704600,,,,
9100IRVN,IRVN,IRV,Irvine Rail Station,,U,231600,638500,,,,
9100ARDLUI,ARDLUI,AUI,Ardlui Rail Station,,U,231700,715500,,,,
9100PTGLSGW,PTGLSGW,PTG,Port Glasgow Rail Station,,U,232070,674430,,,,
9100GLGN,GLGN,GLG,Glengarnock Rail Station,,U,232190,652740,,,,
9100LCHLCHR,LCHLCHR,LCC,Lochluichart Rail Station,,U,232335,862562,,,,
9100TROON,TROON,TRN,Troon Rail Station,,U,232560,630880,,,,
9100TYNDRML,TYNDRML,TYL,Tyndrum Lower Rail Station,,U,232700,730100,,,,
9100RHOSNGR,RHOSNGR,RHO,Rhosneigr Rail Station,,U,232800,373800,,,,
9100BARASIE,BARASIE,BSS,Barassie Rail Station,,U,232900,632900,,,,
9100TYNDRMU,TYNDRMU,UTY,Upper Tyndrum Rail Station,,U,233390,730220,,,,
9100AYRR,AYRR,AYR,Ayr Rail Station,,U,234060,621390,,,,
9100NWTOA,NWTOA,NOA,Newton-on-Ayr Rail Station,,U,234130,623160,,,,
9100WHHL,WHHL,WDL,Woodhall Rail Station,,U,234210,674090,,,,
9100CDRS,CDRS,CDR,Cardross Rail Station,,U,234480,677330,,,,
9100TYCROES,TYCROES,TYC,Ty Croes Rail Station,,U,234882,372360,,,,
9100PWCK,PWCK,PTW,Prestwick Rail Station,,U,234920,626210,,,,
9100PWCKAPT,PWCKAPT,PRA,Prestwick Intl Airport Rail Station,,U,235013,627024,,,,
9100TULLOCH,TULLOCH,TUL,Tulloch Rail Station,,U,235510,780240,,,,
9100CORROUR,CORROUR,CRR,Corrour Rail Station,,U,235620,766410,,,,
9100STGRMNS,STGRMNS,SGM,St Germans Rail Station,,U,236020,57480,,,,
9100LCHWNCH,LCHWNCH,LHW,Lochwinnoch Rail Station,,U,236060,657970,,,,
9100FYSD,FYSD,FYS,Ferryside Rail Station,,U,236600,210400,,,,
9100PWLHELI,PWLHELI,PWL,Pwllheli Rail Station,,U,237500,335000,,,,
9100CRNLRCH,CRNLRCH,CNR,Crianlarich Rail Station,,U,238460,725100,,,,
9100LGBK,LGBK,LGB,Langbank Rail Station,,U,238562,673180,,,,
9100BODORGN,BODORGN,BOR,Bodorgan Rail Station,,U,238600,370200,,,,
9100RENTON,RENTON,RTN,Renton Rail Station,,U,238700,678290,,,,
9100BALLOCH,BALLOCH,BHC,Balloch Rail Station,,U,239000,681900,,,,
9100DLREOCH,DLREOCH,DLR,Dalreoch Rail Station,,U,239120,675710,,,,
9100ALXANDR,ALXANDR,ALX,Alexandria Rail Station,,U,239300,679900,,,,
9100HOWOOD,HOWOOD,HOZ,Howwood (Renfrewshire) Rail Station,,U,239480,660450,,,,
9100GARVE,GARVE,GVE,Garve Rail Station,,U,239500,861300,,,,
9100DMBRTNC,DMBRTNC,DBC,Dumbarton Central Rail Station,,U,239800,675600,,,,
9100KIDWELY,KIDWELY,KWL,Kidwelly Rail Station,,U,240100,206500,,,,
9100ABRE,ABRE,ABH,Abererch Rail Station,,U,240400,336100,,,,
9100DMBRTNE,DMBRTNE,DBE,Dumbarton East Rail Station,,U,240580,675080,,,,
9100KLMAURS,KLMAURS,KLM,Kilmaurs Rail Station,,U,240816,641088,,,,
9100DNLP,DNLP,DNL,Dunlop Rail Station,,U,241000,649400,,,,
9100CMTHN,CMTHN,CMN,Carmarthen Rail Station,,U,241280,219710,,,,
9100MILKNPK,MILKNPK,MIN,Milliken Park Rail Station,,U,241400,662000,,,,
9100STEWRTN,STEWRTN,STT,Stewarton Rail Station,,U,241780,646060,,,,
9100RANNOCH,RANNOCH,RAN,Rannoch Rail Station,,U,242260,757890,,,,
9100KILMRNK,KILMRNK,KMK,Kilmarnock Rail Station,,U,242717,638224,,,,
9100GUNISLK,GUNISLK,GSL,Gunnislake Rail Station,,U,242750,70830,,,,
9100PENYCHN,PENYCHN,BPC,Penychain Rail Station,,U,242800,336500,,,,
9100SASH,SASH,STS,Saltash Rail Station,,U,243120,58720,,,,
9100JOHNSTN,JOHNSTN,JHN,Johnstone Rail Station,,U,243300,663000,,,,
9100CALSTCK,CALSTCK,CSK,Calstock Rail Station,,U,243428,68775,,,,
9100BISHPTN,BISHPTN,BPT,Bishopton Rail Station,,U,243769,670509,,,,
9100BEREALS,BEREALS,BAS,Bere Alston Rail Station,,U,244000,67400,,,,
9100BOWLING,BOWLING,BWG,Bowling Rail Station,,U,244300,673700,,,,
9100STBDXVR,STBDXVR,SBV,St Budeaux Victoria Road Rail Station,,U,244645,58080,,,,
9100STBDXFR,STBDXFR,SBF,St Budeaux Ferry Road Rail Station,,U,244685,58010,,,,
9100PMBRYBP,PMBRYBP,PBY,Pembrey & Burry Port Rail Station,,U,244700,200700,,,,
9100KEYHAM,KEYHAM,KEY,Keyham Rail Station,,U,245160,56715,,,,
9100BEREFRS,BEREFRS,BFE,Bere Ferrers Rail Station,,U,245230,63545,,,,
9100DOCKYDP,DOCKYDP,DOC,Dockyard (Plymouth) Rail Station,,U,245398,55850,,,,
9100DEVNPRT,DEVNPRT,DPT,Devonport Rail Station,,U,245755,55435,,,,
9100KLPTRCK,KLPTRCK,KPT,Kilpatrick Rail Station,,U,246800,672900,,,,
9100PSLYSTJ,PSLYSTJ,PYJ,Paisley St James Rail Station,,U,247200,664800,,,,
9100PLYMTH,PLYMTH,PLY,Plymouth Rail Station,,U,247700,55300,,,,
9100NEILSTN,NEILSTN,NEI,Neilston Rail Station,,U,247900,657080,,,,
9100PSLYCAN,PSLYCAN,PCN,Paisley Canal Rail Station,,U,248300,663420,,,,
9100PSLYGST,PSLYGST,PYG,Paisley Gilmour Street Rail Station,,U,248304,664230,,,,
9100DALMUIR,DALMUIR,DMR,Dalmuir Rail Station,,U,248420,671420,,,,
9100CRICCTH,CRICCTH,CCC,Criccieth Rail Station,,U,249660,338010,,,,
9100SINGER,SINGER,SIN,Singer Rail Station,,U,249728,670900,,,,
9100CLYBANK,CLYBANK,CYK,Clydebank Rail Station,,U,249768,670121,,,,
9100BRHD,BRHD,BRR,Barrhead Rail Station,,U,249840,659320,,,,
9100HWKHEAD,HWKHEAD,HKH,Hawkhead Rail Station,,U,249890,663600,,,,
9100LLNLLI,LLNLLI,LLE,Llanelli Rail Station,,U,250650,199445,,,,
9100YOKER,YOKER,YOK,Yoker Rail Station,,U,250870,669180,,,,
9100DRUMRY,DRUMRY,DMY,Drumry Rail Station,,U,250967,670514,,,,
9100HLNGTNW,HLNGTNW,HLW,Hillington West Rail Station,,U,251650,665080,,,,
9100BEAULY,BEAULY,BEL,Beauly Rail Station,,U,252005,845807,,,,
9100CROKSTN,CROKSTN,CKT,Crookston Rail Station,,U,252030,663540,,,,
9100GSCD,GSCD,GRS,Garscadden Rail Station,,U,252182,668590,,,,
9100NITSH,NITSH,NIT,Nitshill Rail Station,,U,252210,660150,,,,
9100DRMCHPL,DRMCHPL,DMC,Drumchapel Rail Station,,U,252380,670490,,,,
9100LFPW,LFPW,LPG,Llanfairpwll Rail Station,,U,252600,371600,,,,
9100HLNGTNE,HLNGTNE,HLE,Hillington East Rail Station,,U,252680,664840,,,,
9100MUROORD,MUROORD,MOO,Muir of Ord Rail Station,,U,252742,850189,,,,
9100SCTSTNH,SCTSTNH,SCH,Scotstounhill Rail Station,,U,252930,668280,,,,
9100MSSPARK,MSSPARK,MPK,Mosspark Rail Station,,U,253050,663340,,,,
9100PHLD,PHLD,PTL,Priesthill & Darnley Rail Station,,U,253280,660140,,,,
9100CDNL,CDNL,CDO,Cardonald Rail Station,,U,253570,664630,,,,
9100PATERTN,PATERTN,PTT,Patterton Rail Station,,U,253675,657725,,,,
9100CKHL,CKHL,CKH,Corkerhill Rail Station,,U,253914,662940,,,,
9100CONONBR,CONONBR,CBD,Conon Bridge Rail Station,,U,254105,855032,,,,
9100WESTRTN,WESTRTN,WES,Westerton Rail Station,,U,254130,670430,,,,
9100BSDN,BSDN,BRN,Bearsden Rail Station,,U,254355,671795,,,,
9100KENISHD,KENISHD,KNS,Kennishead Rail Station,,U,254390,660230,,,,
9100JORDANH,JORDANH,JOR,Jordanhill Rail Station,,U,254670,667950,,,,
9100ANSL,ANSL,ANL,Anniesland Rail Station,,U,254880,668683,,,,
9100BYNEA,BYNEA,BYE,Bynea Rail Station,,U,254960,199115,,,,
9100ACHILCK,ACHILCK,AUK,Auchinleck Rail Station,,U,255000,622000,,,,
9100HLFT,HLFT,HLF,Hillfoot Rail Station,,U,255100,672100,,,,
9100THLB,THLB,THB,Thornliebank Rail Station,,U,255230,659955,,,,
9100WTCR,WTCR,WCR,Whitecraigs Rail Station,,U,255250,657640,,,,
9100HYNDLND,HYNDLND,HYN,Hyndland Rail Station,,U,255300,667600,,,,
9100DINGWAL,DINGWAL,DIN,Dingwall Rail Station,,U,255323,858608,,,,
9100MLGV,MLGV,MLN,Milngavie Rail Station,,U,255535,674455,,,,
9100BRNSTPL,BRNSTPL,BNP,Barnstaple Rail Station,,U,255561,132541,,,,
9100PTCK,PTCK,PTK,Partick Rail Station,,U,255630,666490,,,,
9100DAWSHLM,DAWSHLM,KVD,Kelvindale Rail Station,,U,255670,669125,,,,
9100PLKSHWW,PLKSHWW,PWW,Pollokshaws West Rail Station,,U,255910,661350,,,,
9100DUMBRCK,DUMBRCK,DUM,Dumbreck Rail Station,,U,256010,663666,,,,
9100MRYHILL,MRYHILL,MYH,Maryhill Rail Station,,U,256237,669560,,,,
9100TONFNAU,TONFNAU,TNF,Tonfanau Rail Station,,U,256310,303870,,,,
9100GIFNOCK,GIFNOCK,GFN,Giffnock Rail Station,,U,256375,659125,,,,
9100LLGNNCH,LLGNNCH,LLH,Llangennech Rail Station,,U,256400,201200,,,,
9100WMWD,WMWD,WLM,Williamwood Rail Station,,U,256505,657973,,,,
9100SHWLNDS,SHWLNDS,SHL,Shawlands Rail Station,,U,256510,661930,,,,
9100PRTHMDG,PRTHMDG,PTM,Porthmadog Rail Station,,U,256630,339190,,,,
9100MAXWLPK,MAXWLPK,MAX,Maxwell Park Rail Station,,U,256770,662870,,,,
9100SUMRSTN,SUMRSTN,SUM,Summerston Rail Station,,U,256817,669675,,,,
9100PLKSHWE,PLKSHWE,PWE,Pollokshaws East Rail Station,,U,256835,661410,,,,
9100CRSMYLF,CRSMYLF,CMY,Crossmyloof Rail Station,,U,257030,662440,,,,
9100LNDW,LNDW,LDN,Llandanwg Rail Station,,U,257030,328630,,,,
9100PRTHHBR,PRTHHBR,PMG,Porthmadog Harbour Ffestiniog Railway Station,,U,257120,338410,,,,
9100EXHIBTC,EXHIBTC,EXG,Exhibition Centre (Glasgow) Rail Station,,U,257177,665510,,,,
9100LAMBH,LAMBH,GSC,Gilshochill Rail Station,,U,257365,669490,,,,
9100CLRKSTN,CLRKSTN,CKS,Clarkston Rail Station,,U,257410,657460,,,,
9100LNSD,LNSD,LGS,Langside Rail Station,,U,257420,661000,,,,
9100BANGOR,BANGOR,BNG,Bangor (Gwynedd) Rail Station,,U,257500,371600,,,,
9100MUIREND,MUIREND,MUI,Muirend Rail Station,,U,257562,659695,,,,
9100PLKLHDW,PLKLHDW,PLW,Pollokshields West Rail Station,,U,257580,662840,,,,
9100CULRAIN,CULRAIN,CUA,Culrain Rail Station,,U,257680,894770,,,,
9100PSRN,PSRN,PES,Pensarn (Gwynedd) Rail Station,,U,257800,328000,,,,
9100LBDR,LBDR,LBR,Llanbedr Rail Station,,U,257900,326900,,,,
9100ANDRSTN,ANDRSTN,AND,Anderston Rail Station,,U,257960,665300,,,,
9100INVRSHN,INVRSHN,INH,Invershin Rail Station,,U,257985,895356,,,,
9100PLKLHDE,PLKLHDE,PLE,Pollokshields East Rail Station,,U,258040,663200,,,,
9100CHRNGXG,CHRNGXG,CHC,Charing Cross (Glasgow) Rail Station,,U,258050,665830,,,,
9100CHAPLTN,CHAPLTN,CPN,Chapelton (Devon) Rail Station,,U,258075,126080,,,,
9100HRLC,HRLC,HRL,Harlech Rail Station,,U,258100,331400,,,,
9100QUNPARK,QUNPARK,QPK,Queens Park (Glasgow) Rail Station,,U,258135,662555,,,,
9100DYFRYNA,DYFRYNA,DYF,Dyffryn Ardudwy Rail Station,,U,258170,323330,,,,
9100BUSBY,BUSBY,BUS,Busby Rail Station,,U,258220,656430,,,,
9100TYWYN,TYWYN,TYW,Tywyn Rail Station,,U,258260,300700,,,,
9100LAIRG,LAIRG,LRG,Lairg Rail Station,,U,258265,903922,,,,
9100MTFL,MTFL,MFL,Mount Florida Rail Station,,U,258455,661570,,,,
9100CCRT,CCRT,CCT,Cathcart Rail Station,,U,258460,660580,,,,
9100ABRYSTH,ABRYSTH,AYW,Aberystwyth Rail Station,,U,258500,281600,,,,
9100TALB,TALB,TLB,Talybont Rail Station,,U,258660,321510,,,,
9100GLGCLL,GLGCLL,GCL,Glasgow Central Low Level Rail Station,,U,258737,665139,,,,
9100CROSSHL,CROSSHL,COI,Crosshill Rail Station,,U,258750,662310,,,,
9100PNTADLS,PNTADLS,PTD,Pontarddulais Rail Station,,U,258790,204080,,,,
9100GLGC,GLGC,GLC,Glasgow Central Rail Station,,U,258794,665257,,,,
9100POSILPK,POSILPK,PPK,Possilpark & Parkhouse Rail Station,,U,258850,668640,,,,
9100THAL,THAL,THT,Thorntonhall Rail Station,,U,258870,655110,,,,
9100LYNGRIL,LYNGRIL,LLW,Llwyngwril Rail Station,,U,258920,309720,,,,
9100GLGQHL,GLGQHL,GLQ,Glasgow Queen Street Rail Station,,U,259190,665515,,,,
9100ARGYLST,ARGYLST,AGS,Argyle Street Rail Station,,U,259220,664970,,,,
9100OKHMPTN,OKHMPTN,OKE,Okehampton Rail Station,,U,259220,94430,,,,
9100GOWERTN,GOWERTN,GWN,Gowerton Rail Station,,U,259240,196400,,,,
9100GLGQLL,GLGQLL,GQL,Glasgow Queen Street Low Level Rail Station,,U,259241,665531,,,,
9100KGPK,KGPK,KGP,Kings Park Rail Station,,U,259345,660760,,,,
9100ASFIELD,ASFIELD,ASF,Ashfield Rail Station,,U,259427,668485,,,,
9100LNAB,LNAB,LLA,Llanaber Rail Station,,U,259870,318010,,,,
9100GLGHST,GLGHST,HST,High Street (Glasgow) Rail Station,,U,259890,665200,,,,
9100MINFORD,MINFORD,MFF,Minffordd Rail Station,,U,259940,338560,,,,
9100MINFFR,MINFFR,MFD,Minffordd Ffestiniog Railway Station,,U,259990,338530,,,,
9100ARDGAY,ARDGAY,ARD,Ardgay Rail Station,,U,260030,890446,,,,
9100TYGWYN,TYGWYN,TYG,Tygwyn Rail Station,,U,260260,334950,,,,
9100CFFT,CFFT,CFF,Croftfoot Rail Station,,U,260480,660580,,,,
9100SPRNGBN,SPRNGBN,SPR,Springburn Rail Station,,U,260570,667670,,,,
9100ABDVY,ABDVY,AVY,Aberdovey Rail Station,,U,260600,296000,,,,
9100BRIDGTN,BRIDGTN,BDG,Bridgeton Rail Station,,U,260732,663992,,,,
9100HARMYRS,HARMYRS,HMY,Hairmyres Rail Station,,U,260800,654300,,,,
9100BLGRVE,BLGRVE,BLG,Bellgrove Rail Station,,U,260865,664850,,,,
9100BORTH,BORTH,BRH,Borth Rail Station,,U,260900,290100,,,,
9100UMBRLGH,UMBRLGH,UMB,Umberleigh Rail Station,,U,260950,123800,,,,
9100BSHB,BSHB,BBG,Bishopbriggs Rail Station,,U,261000,670100,,,,
9100TLSRNAU,TLSRNAU,TAL,Talsarnau Rail Station,,U,261000,336100,,,,
9100BNHL,BNHL,BNL,Barnhill Rail Station,,U,261025,667160,,,,
9100BRMOUTH,BRMOUTH,BRM,Barmouth Rail Station,,U,261200,315900,,,,
9100DLMRNOK,DLMRNOK,DAK,Dalmarnock Rail Station,,U,261230,663210,,,,
9100PRHN,PRHN,PRH,Penrhyndeudraeth Rail Station,,U,261320,338820,,,,
9100RTHGLEN,RTHGLEN,RUT,Rutherglen Rail Station,,U,261540,661920,,,,
9100DUKEST,DUKEST,DST,Duke Street Rail Station,,U,261580,665020,,,,
9100FRBN,FRBN,FRB,Fairbourne Rail Station,,U,261600,312900,,,,
9100ALXPD,ALXPD,AXP,Alexandra Parade Rail Station,,U,261747,665542,,,,
9100NWCMNCK,NWCMNCK,NCK,New Cumnock Rail Station,,U,261780,614260,,,,
9100LNDC,LNDC,LLC,Llandecwyn Rail Station,,U,261800,337900,,,,
9100LLDYBIE,LLDYBIE,LLI,Llandybie Rail Station,,U,262000,215500,,,,
9100BRSDE,BRSDE,BUI,Burnside (Strathclyde) Rail Station,,U,262100,660380,,,,
9100PENHELG,PENHELG,PHG,Penhelig Rail Station,,U,262100,296150,,,,
9100PNTYFYN,PNTYFYN,PTF,Pantyffynnon Rail Station,,U,262300,210800,,,,
9100AMMANFD,AMMANFD,AMF,Ammanford Rail Station,,U,262400,212700,,,,
9100SAMPCRT,SAMPCRT,SMC,Sampford Courtenay Rail Station,,U,262670,98535,,,,
9100MFAM,MFAM,MFA,Morfa Mawddach Rail Station,,U,262800,314100,,,,
9100FFAIRFC,FFAIRFC,FFA,Ffairfach Rail Station,,U,262900,221200,,,,
9100PRTSMTA,PRTSMTA,PMA,Portsmouth Arms Rail Station,,U,263100,119320,,,,
9100EKILBRD,EKILBRD,EKL,East Kilbride Rail Station,,U,263310,654670,,,,
9100LLDEILO,LLDEILO,LLL,Llandeilo Rail Station,,U,263350,222620,,,,
9100DALWHIN,DALWHIN,DLW,Dalwhinnie Rail Station,,U,263420,784900,,,,
9100CNTY,CNTY,CAY,Carntyne Rail Station,,U,263725,664555,,,,
9100CMBSLNG,CMBSLNG,CBL,Cambuslang Rail Station,,U,263950,660620,,,,
9100KRKH,KRKH,KKH,Kirkhill Rail Station,,U,264300,659975,,,,
9100IVYBDGE,IVYBDGE,IVY,Ivybridge Rail Station,,U,264745,56570,,,,
9100SHTLSTN,SHTLSTN,SLS,Shettleston Rail Station,,U,264880,664370,,,,
9100CARMYLE,CARMYLE,CML,Carmyle Rail Station,,U,264930,662230,,,,
9100TANY,TANY,TYB,Tan-y-Bwlch Ffestiniog Railway Station,,U,264965,341560,,,,
9100LENZIE,LENZIE,LNZ,Lenzie Rail Station,,U,265500,671900,,,,
9100SWANSEA,SWANSEA,SWA,Swansea Rail Station,,U,265700,193600,,,,
9100ALNESS,ALNESS,ASS,Alness Rail Station,,U,266000,869400,,,,
9100STEPPS,STEPPS,SPS,Stepps Rail Station,,U,266210,668405,,,,
9100KNYMPTN,KNYMPTN,KGN,Kings Nympton Rail Station,,U,266212,116910,,,,
9100NWTL,NWTL,NTN,Newton (S Lanarks) Rail Station,,U,266450,660450,,,,
9100MNTVRNN,MNTVRNN,MTV,Mount Vernon Rail Station,,U,266485,662835,,,,
