AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
9100EBSFDOM,EBSFDOM,EBD,Ebbsfleet International Rail Station,,U,561394,174108,,,,
9100NRTHFLT,NRTHFLT,NFL,Northfleet Rail Station,,U,561621,174435,,,,
9100DULNGHM,DULNGHM,DUL,Dullingham Rail Station,,U,561832,258575,,,,
9100WADHRST,WADHRST,WAD,Wadhurst Rail Station,,U,562150,133004,,,,
9100KLYNN,KLYNN,KLN,Kings Lynn Rail Station,,U,562301,320076,,,,
9100WHORNDN,WHORNDN,WHR,West Horndon Rail Station,,U,562320,188048,,,,
9100TLBYTWN,TLBYTWN,TIL,Tilbury Town Rail Station,,U,563626,176337,,,,
9100PVNSYAW,PVNSYAW,PEV,Pevensey & Westham Rail Station,,U,563868,104381,,,,
9100MEOPHAM,MEOPHAM,MEP,Meopham Rail Station,,U,564100,167900,,,,
9100SPHL,SPHL,SPP,Shippea Hill Rail Station,,U,564174,284098,,,,
9100NWMKET,NWMKET,NMK,Newmarket Rail Station,,U,564400,262700,,,,
9100GRVSEND,GRVSEND,GRV,Gravesend Rail Station,,U,564577,174029,,,,
9100INGTSTN,INGTSTN,INT,Ingatestone Rail Station,,U,564982,199165,,,,
9100PVNSYBY,PVNSYBY,PEB,Pevensey Bay Rail Station,,U,565137,104606,,,,
9100SOLEST,SOLEST,SOR,Sole Street Rail Station,,U,565583,167583,,,,
9100SNGT,SNGT,SOG,Stonegate Rail Station,,U,565892,127169,,,,
9100PKWD,PKWD,PDW,Paddock Wood Rail Station,,U,567079,145272,,,,
9100BILERCY,BILERCY,BIC,Billericay Rail Station,,U,567500,195000,,,,
9100ETILBRY,ETILBRY,ETL,East Tilbury Rail Station,,U,567634,178969,,,,
9100BLTRNAB,BLTRNAB,BEG,Beltring Rail Station,,U,568000,147800,,,,
9100LAINDON,LAINDON,LAI,Laindon Rail Station,,U,568118,188190,,,,
9100SLEHOPE,SLEHOPE,SFO,Stanford-le-Hope Rail Station,,U,568227,182276,,,,
9100NRMNSBY,NRMNSBY,NSB,Normans Bay Rail Station,,U,568385,105672,,,,
9100YALDING,YALDING,YAL,Yalding Rail Station,,U,568526,150241,,,,
9100WMALING,WMALING,WMA,West Malling Rail Station,,U,568739,157543,,,,
9100WTRNGBY,WTRNGBY,WTR,Wateringbury Rail Station,,U,569160,152850,,,,
9100KENNETT,KENNETT,KNE,Kennett Rail Station,,U,570002,267267,,,,
9100EMALING,EMALING,EML,East Malling Rail Station,,U,570200,156900,,,,
9100HALG,HALG,HAI,Halling Rail Station,,U,570347,164326,,,,
9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368,188330,,,,
9100CHLMSFD,CHLMSFD,CHM,Chelmsford Rail Station,,U,570552,207068,,,,
9100SNODLND,SNODLND,SDA,Snodland Rail Station,,U,570660,161860,,,,
9100CODNBCH,CODNBCH,COB,Cooden Beach Rail Station,,U,570992,106566,,,,
9100NWHYTHE,NWHYTHE,NHE,New Hythe Rail Station,,U,571190,159960,,,,
9100ETCHNGM,ETCHNGM,ETC,Etchingham Rail Station,,U,571431,126301,,,,
